appid,game_name,genres,num_reviews
1238840,Battlefield™ 1,"Action, Massively Multiplayer",100
1238860,Battlefield 4™,Action,100
1240440,Halo Infinite,"Action, Free To Play",100
1241100,POLYGON,"Action, Early Access, Free To Play, Indie, Massively Multiplayer",100
1245620,ELDEN RING,"Action, RPG",100
1248130,Farming Simulator 22,Simulation,100
1250410,Microsoft Flight Simulator 40th Anniversary Edition,Simulation,100
1259420,Days Gone,"Action, Adventure",100
1260320,Party Animals,"Action, Casual, Indie",100
1272080,PAYDAY 3,"Action, Adventure, RPG",100
1282100,REMNANT II®,"Action, Adventure, RPG",100
1282730,Loop Hero,"Indie, RPG, Strategy",100
1284190,The Planet Crafter,Adventure,100
1289310,Helltaker,"Adventure, Free To Play, Indie",100
1293830,Forza Horizon 4,Racing,100
1304930,The Outlast Trials,"Action, Adventure, Indie",100
1313140,Cult of the Lamb,"Action, Adventure, Indie, Strategy",100
1313860,EA SPORTS™ FIFA 21,"Simulation, Sports",100
1325200,Nioh 2 – The Complete Edition,"Action, RPG",100
1326470,Sons Of The Forest,"Action, Adventure, Indie, Simulation",100
1328670,Mass Effect™ Legendary Edition,"Action, RPG",100
1332010,Stray,"Adventure, Indie",100
1361210,"Warhammer 40,000: Darktide","Action, Adventure, Indie",100
1363080,Manor Lords,"Early Access, Simulation, Strategy",100
1364780,Street Fighter™ 6,"Action, Adventure",100
1366540,Dyson Sphere Program,"Early Access, Indie, Simulation, Strategy",100
1369630,ENDER LILIES: Quietus of the Knights,"Action, Indie, RPG",100
1384160,GUILTY GEAR -STRIVE-,Action,100
1404210,Red Dead Online,"Action, Adventure",100
1407200,World of Tanks,"Action, Free To Play, Massively Multiplayer, Simulation",100
1446780,MONSTER HUNTER RISE,Action,100
1451940,NEEDY STREAMER OVERLOAD,"Adventure, Indie",100
1454400,Cookie Clicker,"Casual, Indie, Simulation, Strategy",100
1466860,Age of Empires IV: Anniversary Edition,Strategy,100
1468810,鬼谷八荒 Tale of Immortal,"Action, Adventure, Indie, RPG, Simulation",100
1501750,Lords of the Fallen,"Action, Adventure, RPG",100
1506830,FIFA 22,"Simulation, Sports",100
1517290,Battlefield™ 2042,"Action, Adventure, Casual",100
1533390,Gorilla Tag,"Action, Casual",100
1544020,The Callisto Protocol™,"Action, Adventure",100
1551360,Forza Horizon 5,"Action, Adventure, Racing, Simulation, Sports",100
1557740,ROUNDS,"Action, Indie",100
1562430,DREDGE,"Adventure, RPG",100
1593500,God of War,"Action, Adventure, RPG",100
1599340,Lost Ark,"Action, Adventure, Free To Play, Massively Multiplayer, RPG",100
1604030,V Rising,"Action, Adventure, Massively Multiplayer",100
1621690,Core Keeper,"Adventure, Casual, Indie, RPG",100
1623730,Palworld,"Action, Adventure, Early Access, Indie, RPG",100
1627720,Lies of P,"Action, Adventure, RPG",100
1659040,HITMAN World of Assassination,"Action, Adventure",100
1677740,Stumble Guys,"Action, Casual, Free To Play, Indie, Massively Multiplayer",100
1687950,Persona 5 Royal,RPG,100
1693980,Dead Space,"Action, Adventure",100
1721470,Poppy Playtime,"Action, Adventure, Indie",100
1774580,STAR WARS Jedi: Survivor™,"Action, Adventure",100
1778820,TEKKEN 8,Action,100
1790600,DRAGON BALL: Sparking! ZERO,Action,100
1811260,EA SPORTS™ FIFA 23,"Simulation, Sports",100
1817070,Marvel’s Spider-Man Remastered,"Action, Adventure, Casual",100
1817190,Marvel’s Spider-Man: Miles Morales,"Action, Adventure",100
1817230,Hi-Fi RUSH,Action,100
1818750,MultiVersus,"Action, Free To Play",100
1824220,Chivalry 2,"Action, Massively Multiplayer",100
1832640,Mirror 2: Project X,"Adventure, Early Access, Indie, RPG",100
1846380,Need for Speed™ Unbound,"Action, Racing",100
1868140,DAVE THE DIVER,"Adventure, Casual, RPG, Simulation",100
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,Action,100
1888930,The Last of Us™ Part I,"Action, Adventure",100
1919590,NBA 2K23,"Simulation, Sports",100
1938090,Call of Duty®,Action,100
1942280,Brotato,"Action, Casual, Indie, RPG",100
1943950,Escape the Backrooms,"Early Access, Indie",100
1966720,Lethal Company,"Action, Adventure, Early Access, Indie",100
1987080,Inside the Backrooms,"Adventure, Early Access, Indie",100
2050650,Resident Evil 4,"Action, Adventure",100
2054970,Dragon's Dogma 2,"Action, RPG",100
2183900,"Warhammer 40,000: Space Marine 2","Action, Adventure, RPG",100
2195250,EA SPORTS FC™ 24,"Simulation, Sports",100
2215430,Ghost of Tsushima DIRECTOR'S CUT,"Action, Adventure",100
2231450,Pizza Tower,"Action, Indie",100
2322560,Love Is All Around,"Adventure, Indie, RPG, Simulation, Strategy",100
2338770,NBA 2K24,"Simulation, Sports",100
2344520,Diablo® IV,"Action, RPG",100
2379780,Balatro,"Casual, Indie, Strategy",100
2399830,ARK: Survival Ascended,"Action, Adventure, Early Access, Indie, Massively Multiplayer, RPG",100
2479810,Gray Zone Warfare,"Action, Adventure, Early Access, Massively Multiplayer",100
2567870,Chained Together,"Adventure, Casual, Indie, Simulation",100
2670630,Supermarket Simulator,"Casual, Early Access, Indie, Simulation",100
2835570,Buckshot Roulette,"Action, Indie, Simulation",100
2881650,Content Warning,"Action, Adventure, Indie",100
